epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
75,1.000,1.000,21.219971,24.556416,0.007019,1.788871,0.690628,19.449623,22.341913,0.007059,1.793125,0.679726,1.00e-04
76,1.000,1.000,20.955722,24.223078,0.007045,1.792500,0.688117,19.008087,21.789182,0.007081,1.793955,0.679560,1.00e-04
77,1.000,1.000,20.586775,23.762931,0.007062,1.791274,0.688804,18.905759,21.666250,0.007098,1.788924,0.679703,1.00e-04
78,1.000,1.000,20.474443,23.627839,0.007082,1.785530,0.690411,18.682857,21.393279,0.007117,1.783322,0.679408,1.00e-04
79,1.000,1.000,19.759259,22.743068,0.007104,1.776368,0.690136,18.416138,21.071036,0.007143,1.772120,0.679497,1.00e-04
80,1.000,1.000,19.680671,22.647447,0.007129,1.773899,0.689456,18.206851,20.799145,0.007164,1.782387,0.679470,1.00e-04
81,1.000,1.000,19.219953,22.065555,0.007146,1.779867,0.689484,18.028385,20.583536,0.007180,1.774851,0.679651,1.00e-04
82,1.000,1.000,19.258917,22.123157,0.007163,1.771162,0.688653,17.793779,20.296628,0.007200,1.768447,0.679792,1.00e-04
83,1.000,1.000,18.691421,21.418318,0.007184,1.766910,0.687457,17.547608,19.990016,0.007219,1.767460,0.679261,1.00e-04
84,1.000,1.000,18.492875,21.171033,0.007202,1.765539,0.689283,17.300125,19.680196,0.007239,1.767922,0.679189,1.00e-04
85,1.000,1.000,18.212759,20.818441,0.007225,1.768253,0.688117,17.217648,19.575229,0.007259,1.769775,0.679191,1.00e-04
86,1.000,1.000,18.186201,20.788195,0.007243,1.764996,0.689264,17.006302,19.314205,0.007278,1.766674,0.678882,1.00e-04
87,1.000,1.000,17.696233,20.176441,0.007263,1.764800,0.687148,16.803318,19.059914,0.007298,1.767210,0.678901,1.00e-04
88,1.000,1.000,17.534083,19.972883,0.007282,1.765557,0.687521,16.962327,19.257500,0.007316,1.768428,0.678663,1.00e-04
89,1.000,1.000,17.280838,19.656421,0.007299,1.765361,0.687864,16.343035,18.486187,0.007331,1.765697,0.678309,1.00e-04
90,1.000,1.000,17.094853,19.428338,0.007316,1.761014,0.687590,16.297063,18.437464,0.007347,1.757008,0.678038,1.00e-04
91,1.000,1.000,16.706263,18.948201,0.007332,1.755173,0.688490,16.117631,18.213367,0.007368,1.756782,0.678088,1.00e-04
92,1.000,1.000,16.509861,18.701687,0.007355,1.756136,0.688593,16.006588,18.069326,0.007386,1.761930,0.678372,1.00e-04
93,1.000,1.000,16.440845,18.606948,0.007373,1.765013,0.686891,15.955267,17.997107,0.007402,1.769985,0.678361,1.00e-04
94,1.000,1.000,16.186102,18.289512,0.007386,1.763801,0.687717,15.515423,17.457484,0.007418,1.759771,0.678416,1.00e-04
