,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M50,0.06623185,0.021031236,0.10848214,0.027414164,0.058159027,0.07847651,0.008470054,0.03936059,0.05543325,0.054272674,0.051145867,0.022595098,0.01759562,0.05083486,0.05709936,0.01548482,0.009296565,0.040893935,0.0646038,0.06365199,0.019684093,0.017312959,0.015674172,0.05561515
M89,0.045085352,0.023257935,0.04809612,0.07933056,0.02662548,0.06821924,0.05655782,0.054297905,0.0117099155,0.010446602,0.03798475,0.07456603,0.023274079,0.059882484,0.092795044,0.08806574,0.05431219,0.06533774,0.031912692,0.06928196,0.0607665,0.027780775,0.01652113,0.06850908
M25,0.037141684,0.008699071,0.062103666,0.07657802,0.06251304,0.047479454,0.08748435,0.034094743,0.023402305,0.059601903,0.037920717,0.019713758,0.040658772,0.10773007,0.01580306,0.037818387,0.09585312,0.06258275,0.02562151,0.0766512,0.036514696,0.04426458,0.04918227,0.05160649
M92,0.033403553,0.05535566,0.02806841,0.04206796,0.032313146,0.05108468,0.061614547,0.07281158,0.03552332,0.03532265,0.040079247,0.05135528,0.021953482,0.04102019,0.044844374,0.04614349,0.09765121,0.015314217,0.056863155,0.08504172,0.03854882,0.073781475,0.023274742,0.034641962
M19,0.06864839,0.015079418,0.059492912,0.015334273,0.07381124,0.055968396,0.0036568101,0.057835687,0.06913873,0.06977399,0.03670856,0.04304333,0.029904872,0.038919736,0.05848312,0.0662193,0.05809865,0.0618765,0.087033585,0.05947016,0.051541544,0.051288687,0.021422416,0.038189355
M22,0.04209247,0.014288771,0.035546377,0.031636864,0.16157931,0.042258333,0.023370791,0.010766752,0.08694632,0.052408826,0.052989267,0.113369435,0.051117368,0.033500966,0.027369194,0.01711336,0.07247156,0.0113028465,0.049294356,0.07337176,0.038442597,0.04119296,0.04555884,0.05454127
M95,0.0195303,0.021581044,0.026450925,0.08410633,0.08660256,0.034394395,0.04848509,0.042720404,0.04144745,0.03996883,0.087158315,0.042429756,0.052597806,0.05239975,0.09113642,0.04592914,0.0464998,0.032302685,0.042925444,0.013141066,0.101057865,0.0445304,0.03940957,0.018392822
M52,0.026359478,0.012880497,0.006464308,0.055386223,0.083833136,0.022884088,0.053168938,0.052846383,0.011010283,0.042170707,0.03885063,0.06587763,0.0576474,0.012990893,0.13277283,0.0059537916,0.014949779,0.04155859,0.03599725,0.042838972,0.064640716,0.08703798,0.07958059,0.039361633
M47,0.03729983,0.03304207,0.0452142,0.06460366,0.0453642,0.016780036,0.06653141,0.04223717,0.049625095,0.039905,0.09575675,0.051740173,0.07013095,0.035921942,0.04610777,0.03955106,0.03734793,0.02460856,0.028172938,0.052180655,0.03560401,0.017623682,0.04323842,0.03797504
M82,0.10934988,0.026178412,0.020155547,0.025681196,0.064034134,0.0034872051,0.03683265,0.074328065,0.0642836,0.070119485,0.062618375,0.05645554,0.11362322,0.01630735,0.06278117,0.09664535,0.022168666,0.030574104,0.030048346,0.08195108,0.022243705,0.011106982,0.08250344,0.05574298
M51,0.05574857,0.079453446,0.04385566,0.041015733,0.14806052,0.078770556,0.078134134,0.031714905,0.0055526234,0.06659545,0.0762252,0.19701222,0.0736298,0.08610837,0.042274762,0.038975965,0.051868476,0.025295421,0.014817775,0.030697575,0.042371307,0.09253783,0.05272873,0.07397871
M21,0.09031319,0.08108931,0.05977301,0.0991386,0.070414774,0.02659399,0.006963262,0.14237155,0.035318457,0.049535215,0.06339062,0.062620945,0.12449176,0.09245897,0.088822976,0.05012307,0.031188935,0.09619181,0.07843853,0.08806884,0.065937124,0.047888726,0.067070015,0.12334627
M60,0.04487298,0.05895258,0.05051812,0.12214677,0.07203125,0.10037956,0.13360329,0.06799944,0.06491934,0.07425207,0.08349759,0.05843252,0.07873053,0.079479724,0.1347179,0.069841735,0.06207594,0.00949557,0.072009236,0.10238353,0.03490374,0.051990632,0.10813601,0.084565274
M65,0.038144782,0.017425194,0.18249255,0.061268006,0.015789265,0.05277229,0.04242391,0.06657024,0.04700415,0.037254583,0.034447476,0.014958699,0.07269505,0.08065213,0.121157,0.07673308,0.05185468,0.089472905,0.012357892,0.082460664,0.026457384,0.051848978,0.032780446,0.041955985
