target_ROI,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
lh_superiorfrontal_smooth3mm,5.047027111053467,3.0864076614379883,3.4406561851501465,3.6118922233581543,3.995950937271118,4.937363147735596,2.6964054107666016,2.7243964672088623,3.4124937057495117,2.9347662925720215,2.3545172214508057,3.805819272994995,1.9598748683929443,3.791192054748535,3.9208717346191406,3.4799234867095947,3.394871234893799,4.452593803405762,3.5750725269317627,4.202256679534912,3.8436148166656494,3.884965419769287,3.6854188442230225,4.308102130889893
lh_vim,5.200677394866943,3.1480259895324707,3.9164390563964844,4.156096935272217,3.9617919921875,5.008599758148193,2.2788517475128174,2.6675355434417725,3.921767234802246,3.403470277786255,2.974828004837036,3.8839211463928223,2.20501708984375,3.3102664947509766,3.4506852626800537,3.5361757278442383,3.7087252140045166,5.16673469543457,4.063920974731445,4.187248229980469,4.212226390838623,4.122872829437256,3.076063394546509,4.40556526184082
lh_zi,4.689484119415283,3.188525438308716,3.4038801193237305,3.2383840084075928,3.525574207305908,3.7584140300750732,2.458402156829834,2.442058801651001,3.2475523948669434,2.845444440841675,2.426603078842163,3.6008193492889404,2.210207939147949,3.2122013568878174,3.1836740970611572,2.9342658519744873,3.3748795986175537,4.012722969055176,3.2670907974243164,4.023998260498047,3.8358614444732666,3.554497480392456,3.0308876037597656,4.583498477935791
rh_Ca,4.6088972091674805,2.954704999923706,4.259281635284424,3.967141628265381,4.56707239151001,5.304935932159424,3.210543394088745,2.7522075176239014,3.8138561248779297,3.467210054397583,2.847764015197754,4.484214782714844,2.308382987976074,3.525400400161743,3.9815711975097656,3.6504745483398438,3.529496669769287,5.000062465667725,3.96260142326355,4.423346996307373,4.294932842254639,4.081670761108398,3.5608081817626953,5.1261444091796875
rh_GPe,3.8434627056121826,3.242370128631592,4.375307559967041,4.523461818695068,3.978396415710449,5.152685642242432,3.2690823078155518,2.9095420837402344,3.543820381164551,4.059544086456299,2.4910521507263184,2.8601512908935547,1.7186996936798096,3.1299426555633545,3.630136489868164,3.7669551372528076,4.080069541931152,4.369990825653076,3.4063875675201416,3.85979962348938,3.913564443588257,3.9899349212646484,3.5461721420288086,3.559654474258423
rh_GPi,4.852144241333008,2.557462692260742,3.6379356384277344,4.053566932678223,4.196613788604736,4.9823384284973145,2.707475185394287,2.9098551273345947,3.3151984214782715,3.1790542602539062,2.9163858890533447,4.322145938873291,2.1366331577301025,3.4213836193084717,3.4103739261627197,3.583853006362915,3.6008479595184326,4.692955017089844,4.036049842834473,4.026243209838867,4.213817596435547,3.999282121658325,2.934643030166626,4.899205207824707
rh_Pu,3.9604063034057617,2.80914044380188,3.4778106212615967,3.2498536109924316,4.007316589355469,4.253778457641602,2.7042508125305176,2.304901599884033,3.7108869552612305,3.2293052673339844,2.6046762466430664,3.4217517375946045,2.7197320461273193,2.927696704864502,3.13161039352417,3.5438008308410645,3.5660457611083984,4.055398464202881,3.7633731365203857,3.490778684616089,3.7681591510772705,3.723140001296997,2.7354698181152344,3.994839906692505
rh_STH,3.4714319705963135,2.750192403793335,3.7868258953094482,3.715928792953491,4.007619380950928,4.533140182495117,3.0802671909332275,2.5712099075317383,3.5931005477905273,3.5736842155456543,2.4533517360687256,2.8971054553985596,1.7152411937713623,3.0534536838531494,3.2423670291900635,3.6588854789733887,3.5759871006011963,4.042395114898682,3.4270524978637695,3.672773599624634,3.438969850540161,3.6486916542053223,3.410282850265503,3.694760799407959
rh_cerebellum_dentate,5.216908931732178,3.3936049938201904,3.4699912071228027,3.6308810710906982,3.840167999267578,4.8434672355651855,2.057452440261841,2.6045076847076416,2.936086893081665,2.9783754348754883,2.449936866760254,3.7559337615966797,2.7262182235717773,3.4537127017974854,3.1350722312927246,2.7140793800354004,3.8814337253570557,4.9321441650390625,4.774962425231934,4.308763027191162,4.28151273727417,4.00689697265625,2.9518511295318604,4.520519256591797
rh_cerebellum_motor,3.5128543376922607,2.1452672481536865,3.3058133125305176,3.219578266143799,3.636206865310669,4.0063066482543945,2.415428400039673,2.7017202377319336,3.4305620193481445,2.7754690647125244,2.537707805633545,3.374063491821289,1.9919745922088623,2.946882486343384,2.745338201522827,2.9630203247070312,2.9138872623443604,3.1495797634124756,3.2897439002990723,3.2186546325683594,3.388183832168579,3.549009323120117,2.762352705001831,3.5918407440185547
rh_paracentral_smooth3mm,4.76267147064209,3.1353812217712402,3.9809987545013428,4.182316780090332,4.265456676483154,4.777384281158447,3.287187337875366,3.2979965209960938,3.8344616889953613,3.8904263973236084,2.9635722637176514,3.9859440326690674,2.4778988361358643,3.426243543624878,3.8784000873565674,4.068480491638184,4.346935272216797,4.3790082931518555,4.057369232177734,4.280827522277832,4.146050930023193,4.498943328857422,3.815000534057617,4.675837516784668
rh_postcentral_smooth3mm,5.742403507232666,3.37359356880188,5.3599019050598145,5.699799537658691,5.231898307800293,6.392472743988037,3.515727996826172,3.2613019943237305,4.484771728515625,4.386840343475342,3.12811279296875,4.845430374145508,2.3730244636535645,4.17124080657959,4.803832530975342,4.496086597442627,4.855350971221924,5.809647560119629,4.613929271697998,5.42286491394043,5.245083808898926,4.8676581382751465,4.448415279388428,5.811383247375488
rh_precentral_smooth3mm,5.219937324523926,3.0037262439727783,3.4002888202667236,3.829177141189575,4.13339900970459,4.241668701171875,2.2492287158966064,2.521136522293091,2.8628289699554443,3.672752857208252,2.657531261444092,3.933279275894165,2.3048033714294434,3.641745090484619,3.8293347358703613,3.3709425926208496,3.791771411895752,4.5750532150268555,3.808537483215332,4.762290954589844,4.194174289703369,4.192962646484375,3.0681090354919434,4.516226291656494
rh_superiorfrontal_smooth3mm,4.00485897064209,2.4145009517669678,3.209242582321167,3.8950679302215576,3.3916709423065186,4.407270431518555,2.65763783454895,2.5264265537261963,2.9721639156341553,3.553072214126587,2.5519769191741943,3.2669434547424316,1.8672292232513428,2.7620623111724854,3.2930824756622314,2.7656311988830566,2.9460887908935547,3.8215415477752686,3.130162000656128,3.4430909156799316,3.3763551712036133,3.675686836242676,2.9477524757385254,3.5626955032348633
