target_ROI,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
lh_superiorfrontal_smooth3mm,3.09012770652771,2.8086817264556885,4.065776824951172,4.391761302947998,3.8264963626861572,3.9120845794677734,3.4620721340179443,4.857149600982666,5.013239860534668,5.355762481689453,2.674039602279663,2.91898512840271,4.919807434082031,3.0013580322265625,3.4518918991088867,5.167318344116211,4.315272808074951,3.542294502258301,3.095000982284546,3.4780004024505615,4.508146286010742,4.626490592956543,2.301776170730591,4.586206912994385
lh_vim,2.197939872741699,2.2172658443450928,2.6567962169647217,3.1016571521759033,3.173208236694336,2.893350839614868,2.8361191749572754,3.3905436992645264,3.852250099182129,3.41489315032959,1.9175598621368408,2.5476319789886475,3.294208288192749,2.520580530166626,2.2752914428710938,3.2586052417755127,3.0010993480682373,1.953365683555603,2.1241633892059326,2.2285125255584717,3.019016742706299,3.542637825012207,2.1947672367095947,3.077969789505005
lh_zi,2.655115842819214,3.3741488456726074,3.7527687549591064,4.231449127197266,4.272804260253906,4.010822296142578,3.6678571701049805,4.794355869293213,6.072023868560791,5.640623092651367,2.4592223167419434,2.982370615005493,4.588913440704346,3.0407445430755615,3.574342966079712,5.122040271759033,3.8706326484680176,3.9634203910827637,3.118785858154297,3.516777753829956,4.358354568481445,4.536510944366455,2.306609869003296,4.84760046005249
rh_Ca,3.518484115600586,3.142303705215454,4.588308811187744,4.9611005783081055,4.080949306488037,4.162034034729004,3.1897356510162354,5.4389967918396,6.736301422119141,5.879638671875,3.094913959503174,3.201570510864258,5.692359924316406,3.3594157695770264,4.403271675109863,5.684064865112305,3.6679766178131104,4.469619274139404,3.8232123851776123,3.5505144596099854,4.388548851013184,4.787296772003174,2.8869760036468506,4.272334098815918
rh_GPe,2.703148126602173,2.501966953277588,2.5597286224365234,3.11936616897583,3.253131866455078,3.366917371749878,2.632986545562744,3.2982256412506104,3.4839987754821777,3.7746191024780273,2.220642328262329,2.67893123626709,3.3967461585998535,2.6862616539001465,2.7617716789245605,3.009737014770508,2.530811309814453,2.3195581436157227,2.627272844314575,2.57817006111145,2.609428644180298,3.0805504322052,2.324005126953125,3.0622007846832275
rh_GPi,3.080869197845459,3.2593390941619873,3.724574565887451,3.795593738555908,4.504028797149658,4.122206211090088,3.847785472869873,5.420369625091553,5.925482749938965,4.895904541015625,2.4846255779266357,3.1020073890686035,4.395220756530762,3.0985419750213623,4.011496543884277,4.425506114959717,3.541829824447632,3.633601188659668,3.0936129093170166,3.7884786128997803,3.965541124343872,4.319333076477051,2.9617488384246826,4.611772537231445
rh_Pu,1.661952257156372,2.6478772163391113,3.043527841567993,3.503741502761841,3.2770698070526123,2.759577512741089,2.1803581714630127,4.2789106369018555,3.6713593006134033,3.928201675415039,2.320678949356079,2.9823100566864014,3.891021966934204,2.164545774459839,1.9948827028274536,3.4533939361572266,3.0136730670928955,2.4179458618164062,2.503624439239502,3.2236926555633545,3.878653049468994,3.712770938873291,2.118962287902832,3.2849414348602295
rh_STH,3.6181061267852783,2.8844547271728516,4.162608623504639,4.1814351081848145,3.6000185012817383,4.258803367614746,3.5589213371276855,5.473511695861816,6.206538200378418,5.675553798675537,2.728677272796631,3.360351800918579,5.113240718841553,3.1226072311401367,4.741790294647217,5.390095233917236,3.7913177013397217,4.137142181396484,3.7293500900268555,3.339040756225586,4.140378475189209,4.016518592834473,2.951544761657715,4.539127826690674
rh_cerebellum_dentate,2.3713033199310303,3.051971912384033,3.396566390991211,3.9068377017974854,3.6630630493164062,3.4491536617279053,2.9961953163146973,4.400489807128906,4.943074703216553,4.914782524108887,2.431537628173828,2.847707509994507,4.202993392944336,2.761826753616333,3.3363356590270996,3.779223680496216,3.403188943862915,3.228487014770508,2.6720709800720215,3.7426700592041016,4.099007606506348,4.32586145401001,2.4517698287963867,4.168359279632568
rh_cerebellum_motor,2.44071102142334,2.4425547122955322,3.324432373046875,3.724331855773926,3.6450061798095703,3.5518317222595215,3.287789821624756,3.679619312286377,3.544696807861328,4.485147476196289,2.2684988975524902,3.841730833053589,3.8201565742492676,2.2092247009277344,2.170912742614746,4.158926963806152,3.4592928886413574,2.4115376472473145,2.3159337043762207,2.8943777084350586,3.8196442127227783,3.9583849906921387,1.758695363998413,4.554224967956543
rh_paracentral_smooth3mm,3.3661561012268066,2.635629653930664,3.5167155265808105,3.6508398056030273,3.837171792984009,4.238557815551758,3.3581676483154297,4.188997745513916,4.767625331878662,4.648305892944336,2.539849281311035,2.777771234512329,4.52890682220459,3.2464253902435303,3.6975550651550293,4.644968509674072,3.2143871784210205,3.681569814682007,3.2490124702453613,3.120295524597168,3.6888246536254883,3.7910022735595703,2.503253936767578,3.8399267196655273
rh_postcentral_smooth3mm,3.6236276626586914,3.889737367630005,5.282881259918213,6.318708419799805,4.642521858215332,5.40684175491333,4.205361366271973,6.8241376876831055,7.110542297363281,7.35195779800415,3.422199010848999,4.516425132751465,6.847051620483398,3.7248098850250244,4.8837809562683105,6.894484996795654,5.25710916519165,4.7590532302856445,3.833829641342163,4.2966461181640625,5.852292537689209,5.819199085235596,3.6036157608032227,5.895183563232422
rh_precentral_smooth3mm,2.2071332931518555,2.9731593132019043,3.655207872390747,4.717775344848633,3.5898895263671875,3.657487392425537,2.74409818649292,4.6647629737854,4.787859916687012,5.130748748779297,2.868239164352417,2.9003541469573975,4.995939254760742,2.685330867767334,2.99259090423584,4.607364654541016,3.576674222946167,3.2310779094696045,2.865654945373535,3.2437658309936523,4.195626735687256,4.127715587615967,2.545530080795288,3.939741611480713
rh_superiorfrontal_smooth3mm,2.923823356628418,2.8229494094848633,3.9963505268096924,4.020524024963379,3.489590883255005,3.757343053817749,3.7872724533081055,4.581770420074463,5.763444900512695,4.631724834442139,2.679710865020752,2.3199801445007324,4.855935573577881,3.541522979736328,4.1255693435668945,4.542270660400391,3.6310341358184814,3.4451210498809814,3.176607370376587,3.217632532119751,3.608776330947876,4.331631660461426,2.8439836502075195,4.383236885070801
