2026-08-13 13:40:40,822 | ============================================================
2026-08-13 13:40:40,822 | BRICK Training -- ablation_3_batch_size_4/ablation_no_control_no_ic
2026-08-13 13:40:40,822 | N_ROIS=24, M=96, H=4, T=240
2026-08-13 13:40:40,822 | Epochs=3000, LR=0.0001, WD=0.05, LAMBDA_NOISE=0.01, BATCH_SIZE=4, BETA=0.2, EPSILON=1.0
2026-08-13 13:40:40,823 | cls_regression_threshold=0.3, use_control=False, use_ic=False
2026-08-13 13:40:40,823 | KL annealing: g0 over 0 epochs, u delayed 0 then over 0 epochs
2026-08-13 13:40:40,823 | Split mode: random split_dataset(seed=42)
2026-08-13 13:40:40,823 | ============================================================
2026-08-13 13:40:40,823 | Loading dataset...
2026-08-13 13:40:40,874 | Split: 52 train | 4 val | 20 test items
2026-08-13 13:40:40,898 | Model parameters: 554,702
2026-08-13 13:40:40,898 | Starting training...
2026-08-13 13:40:41,383 | Epoch    1/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-04 [PREOVERFIT-UPDATE]
2026-08-13 13:42:49,242 | Epoch  470/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:54,147 | Epoch  480/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:59,110 | Epoch  490/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:04,021 | Epoch  500/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:08,931 | Epoch  510/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:13,967 | Epoch  520/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:18,887 | Epoch  530/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:23,772 | Epoch  540/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:29,429 | Epoch  550/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:43:34,373 | Epoch  560/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
